incident_id,timestamp,latitude,longitude,crime_type
CRAVE-00001,2026-03-23T11:01:00,26.83865,80.85918,BURGLARY
CRAVE-00002,2026-01-15T05:47:00,26.86275,80.83391,ASSAULT
CRAVE-00003,2026-01-05T08:05:00,26.75498,80.90086,THEFT
CRAVE-00004,2026-03-13T14:45:00,26.82398,80.90719,BURGLARY
CRAVE-00005,2026-02-28T02:17:00,26.84951,80.82104,BURGLARY
CRAVE-00006,2026-03-31T21:21:00,26.76446,80.85445,ROBBERY
CRAVE-00007,2026-01-14T10:24:00,26.73547,80.9556,VANDALISM
CRAVE-00008,2026-02-03T09:46:00,26.79351,80.83997,ASSAULT
CRAVE-00009,2026-01-12T01:18:00,26.8527,80.91896,ROBBERY
CRAVE-00010,2026-03-15T14:45:00,26.73113,80.9258,ROBBERY
CRAVE-00011,2026-01-11T15:55:00,26.73616,80.86448,FRAUD
CRAVE-00012,2026-02-16T13:23:00,26.77684,80.92723,FRAUD
CRAVE-00013,2026-03-30T04:04:00,26.81746,80.84738,FRAUD
CRAVE-00014,2026-02-01T13:29:00,26.78071,80.97832,FRAUD
CRAVE-00015,2026-03-31T01:14:00,26.82954,80.95486,THEFT
CRAVE-00016,2026-01-30T09:51:00,26.77047,80.86284,BURGLARY
CRAVE-00017,2026-03-15T06:20:00,26.75402,80.89988,FRAUD
CRAVE-00018,2026-02-28T12:16:00,26.74234,80.9392,VANDALISM
CRAVE-00019,2026-02-04T07:37:00,26.78855,80.91337,ROBBERY
CRAVE-00020,2026-01-29T12:32:00,26.79896,80.94093,THEFT
CRAVE-00021,2026-01-21T04:10:00,26.84673,80.88755,THEFT
CRAVE-00022,2026-02-19T20:38:00,26.87938,80.90466,VANDALISM
CRAVE-00023,2026-01-03T05:46:00,26.73833,80.96157,ROBBERY
CRAVE-00024,2026-03-24T18:07:00,26.76696,80.84531,THEFT
CRAVE-00025,2026-02-04T00:48:00,26.74858,80.96602,FRAUD
CRAVE-00026,2026-02-09T04:32:00,26.81744,80.84445,BURGLARY
CRAVE-00027,2026-03-12T00:58:00,26.72009,80.87186,THEFT
CRAVE-00028,2026-01-15T19:56:00,26.87765,80.94908,BURGLARY
CRAVE-00029,2026-01-08T15:56:00,26.81078,80.8326,FRAUD
CRAVE-00030,2026-03-04T10:48:00,26.80523,80.84012,FRAUD
CRAVE-00031,2026-03-03T01:10:00,26.76241,80.95959,ASSAULT
CRAVE-00032,2026-01-29T01:48:00,26.83679,80.85218,ROBBERY
CRAVE-00033,2026-02-22T05:41:00,26.77975,80.96394,ASSAULT
CRAVE-00034,2026-01-16T15:14:00,26.73024,80.82337,VANDALISM
CRAVE-00035,2026-01-31T02:14:00,26.72115,80.93325,THEFT
CRAVE-00036,2026-01-30T10:57:00,26.72503,80.87287,VANDALISM
CRAVE-00037,2026-01-31T16:42:00,26.79767,80.90628,FRAUD
CRAVE-00038,2026-03-16T02:30:00,26.75888,80.89568,ASSAULT
CRAVE-00039,2026-01-25T11:06:00,26.82544,80.87669,ASSAULT
CRAVE-00040,2026-03-02T07:03:00,26.82774,80.97747,THEFT
CRAVE-00041,2026-01-08T20:46:00,26.77429,80.95787,BURGLARY
CRAVE-00042,2026-01-25T14:34:00,26.79178,80.8875,ROBBERY
CRAVE-00043,2026-03-01T15:55:00,26.86772,80.8909,VANDALISM
CRAVE-00044,2026-01-13T09:41:00,26.87989,80.95376,THEFT
CRAVE-00045,2026-01-31T13:26:00,26.7977,80.8542,ASSAULT
CRAVE-00046,2026-01-08T13:24:00,26.72034,80.88247,ASSAULT
CRAVE-00047,2026-02-06T21:44:00,26.87317,80.97927,VANDALISM
CRAVE-00048,2026-03-27T06:31:00,26.74477,80.86747,THEFT
CRAVE-00049,2026-03-17T07:34:00,26.72975,80.87018,THEFT
CRAVE-00050,2026-03-16T23:32:00,26.8671,80.90498,THEFT
CRAVE-00051,2026-03-07T10:54:00,26.74973,80.91521,FRAUD
CRAVE-00052,2026-01-31T20:07:00,26.87066,80.91115,VANDALISM
CRAVE-00053,2026-03-18T09:39:00,26.73312,80.92518,VANDALISM
CRAVE-00054,2026-03-08T18:59:00,26.76172,80.92716,ROBBERY
CRAVE-00055,2026-01-31T16:25:00,26.74094,80.92328,ASSAULT
CRAVE-00056,2026-02-10T10:00:00,26.79333,80.97975,THEFT
CRAVE-00057,2026-01-11T01:13:00,26.80094,80.84119,ROBBERY
CRAVE-00058,2026-01-09T15:23:00,26.7656,80.89011,VANDALISM
CRAVE-00059,2026-02-09T03:51:00,26.82464,80.82125,VANDALISM
CRAVE-00060,2026-02-09T05:06:00,26.87023,80.84149,THEFT
CRAVE-00061,2026-01-15T07:35:00,26.74487,80.86508,BURGLARY
CRAVE-00062,2026-02-13T14:43:00,26.82148,80.86224,ASSAULT
CRAVE-00063,2026-02-02T09:05:00,26.82149,80.9527,THEFT
CRAVE-00064,2026-01-01T18:49:00,26.74093,80.97677,BURGLARY
CRAVE-00065,2026-02-27T01:45:00,26.78843,80.82155,THEFT
CRAVE-00066,2026-03-30T12:34:00,26.72576,80.87907,VANDALISM
CRAVE-00067,2026-01-19T21:08:00,26.72669,80.87834,THEFT
CRAVE-00068,2026-02-15T14:43:00,26.75992,80.83645,VANDALISM
CRAVE-00069,2026-02-23T03:47:00,26.74473,80.96878,BURGLARY
CRAVE-00070,2026-01-23T21:01:00,26.7487,80.96792,ASSAULT
CRAVE-00071,2026-03-28T07:51:00,26.75971,80.84547,FRAUD
CRAVE-00072,2026-01-14T20:55:00,26.7262,80.89531,BURGLARY
CRAVE-00073,2026-02-28T19:19:00,26.85129,80.95941,BURGLARY
CRAVE-00074,2026-01-05T05:12:00,26.78375,80.86458,THEFT
CRAVE-00075,2026-02-05T19:41:00,26.8015,80.92872,VANDALISM
CRAVE-00076,2026-02-12T08:07:00,26.86033,80.86179,VANDALISM
CRAVE-00077,2026-02-03T09:06:00,26.81545,80.87531,ROBBERY
CRAVE-00078,2026-02-26T03:32:00,26.7385,80.96392,BURGLARY
CRAVE-00079,2026-02-02T09:45:00,26.78977,80.90319,VANDALISM
CRAVE-00080,2026-03-30T07:47:00,26.83793,80.85153,ASSAULT
CRAVE-00081,2026-01-10T05:58:00,26.77283,80.87023,THEFT
CRAVE-00082,2026-02-09T00:19:00,26.8267,80.87219,FRAUD
CRAVE-00083,2026-02-08T01:08:00,26.75069,80.92639,ASSAULT
CRAVE-00084,2026-03-29T07:57:00,26.74784,80.91106,ASSAULT
CRAVE-00085,2026-03-12T08:19:00,26.76591,80.88878,VANDALISM
CRAVE-00086,2026-03-20T04:20:00,26.7944,80.89075,BURGLARY
CRAVE-00087,2026-03-07T23:50:00,26.86419,80.94736,BURGLARY
CRAVE-00088,2026-03-26T10:18:00,26.80247,80.92127,ROBBERY
CRAVE-00089,2026-01-12T15:43:00,26.76967,80.94905,BURGLARY
CRAVE-00090,2026-01-04T09:15:00,26.87743,80.9178,THEFT
CRAVE-00091,2026-02-28T21:56:00,26.82076,80.85111,FRAUD
CRAVE-00092,2026-02-19T23:25:00,26.75904,80.92497,THEFT
CRAVE-00093,2026-01-14T21:14:00,26.74814,80.97327,VANDALISM
CRAVE-00094,2026-03-01T09:35:00,26.75987,80.95573,ASSAULT
CRAVE-00095,2026-01-18T22:42:00,26.80498,80.90943,ROBBERY
CRAVE-00096,2026-02-27T03:52:00,26.83508,80.90076,VANDALISM
CRAVE-00097,2026-02-27T13:47:00,26.85784,80.89201,BURGLARY
CRAVE-00098,2026-03-23T16:49:00,26.84443,80.89754,BURGLARY
CRAVE-00099,2026-02-05T22:04:00,26.83417,80.85752,ROBBERY
CRAVE-00100,2026-02-11T01:05:00,26.74214,80.857,FRAUD
CRAVE-00101,2026-01-21T06:13:00,26.73028,80.88522,VANDALISM
